qnum,status,score,mismatches,meta_mismatch
1,🟩,1.0,,
2,🟩,1.0,,
3,🟩,OK,,
4,🟩,OK,,scope
5,🟥,НЕ ОК,aggregate_output,"intents, aggregate"
6,🟩,OK,,
7,🟩,1.0,,
8,🟩,1.0,,
9,🟩,1.0,,
10,🟩,1.0,,
11,🟩,1.0,,
12,🟩,1.0,,
13,🟩,1.0,,"topic_keys, biometric_modalities"
14,🟩,1.0,,biometric_modalities
15,🟥,НЕ ОК,aggregate_output(no_gold),"mode, topic_keys, aggregate"
16,🟩,1.0,,
17,🟩,1.0,,
18,🟩,OK,,
19,🟩,OK,,
20,🟥,НЕ ОК,aggregate_output,"intents, scope, doc_types, aggregate"
21,🟩,OK,,
22,🟩,OK,,topic_keys
23,🟩,OK,,topic_keys
24,🟩,OK,,
25,🟩,OK,,
26,🟩,OK,,
27,🟩,OK,,
28,🟩,OK,,
29,🟩,1.0,,
30,🟩,1.0,,
31,🟩,1.0,,
32,🟩,1.0,,
33,🟩,1.0,,
34,🟩,1.0,,
35,🟩,1.0,,
36,🟩,1.0,,
37,🟩,1.0,,
38,🟩,1.0,,
39,🟩,1.0,,
40,🟩,1.0,,
41,🟩,1.0,,
42,🟩,1.0,,
43,🟩,1.0,,
44,🟩,1.0,,
45,🟩,1.0,,
46,🟩,1.0,,
47,🟩,1.0,,
48,🟩,1.0,,
49,🟩,1.0,,
50,🟩,OK,,
51,🟩,OK,,topic_keys
52,🟩,OK,,
53,🟩,OK,,
54,🟩,OK,,
55,🟩,OK,,
56,🟩,OK,,
57,🟩,OK,,
58,🟩,OK,,
59,🟩,OK,,
60,🟩,OK,,
61,🟩,OK,,
62,🟩,OK,,
63,🟩,OK,,
